Date,Open,High,Low,Close,Volume,Dividend
2009-11-27,81.29,83.54,80.84,82.65,1495500,0
2009-11-30,82.86,84.72,82.08,84.45,2605500,0
2009-12-01,85.39,86.57,84.82,85.88,3194300,0
2009-12-02,85.88,87.28,85.54,87.1,2475200,0
2009-12-03,87.61,87.88,85.78,85.94,3246400,0
2009-12-04,87.08,88.04,86.06,87.93,2926800,0
2009-12-07,88.01,88.44,87.39,87.52,2271000,0
2009-12-08,89.47,90.62,89.01,89.88,6866400,0
2009-12-09,90.35,90.35,88.1,89.0,3389600,0
2009-12-10,89.26,90.01,87.67,88.04,2376300,0
2009-12-11,87.93,88.95,87.59,87.94,1815400,0
2009-12-14,88.25,90.65,88.19,90.56,2644500,0
2009-12-15,90.46,91.99,90.0,91.36,4924000,0
2009-12-16,91.94,92.59,89.75,89.95,3494500,0
2009-12-17,86.49,87.1,84.39,84.47,8399100,0
2009-12-18,85.09,85.76,83.53,84.95,4804000,0
2009-12-21,85.43,86.2,84.11,84.72,3637700,0
2009-12-22,84.63,85.41,83.28,83.5,3554900,0
2009-12-23,83.26,84.0,82.86,83.76,2171200,0
2009-12-24,84.0,84.39,82.35,82.57,1458100,0
2009-12-28,82.54,83.45,82.35,83.02,2124300,0
2009-12-29,83.03,85.34,82.85,85.16,2916200,0
2009-12-30,85.0,85.24,84.35,85.17,1589000,0
2009-12-31,84.21,84.74,83.3,83.45,1984200,0
2010-01-04,84.21,85.0,83.11,83.45,3215100,0
2010-01-05,83.44,84.59,82.64,84.54,2493300,0
2010-01-06,84.33,85.12,83.61,83.84,2491000,0
2010-01-07,83.85,83.85,82.4,82.93,3093200,0
2010-01-08,84.08,85.26,82.95,84.99,4351200,0
2010-01-11,85.59,88.29,85.4,87.25,6131900,0
2010-01-12,86.44,88.68,85.6,86.58,3345100,0
2010-01-13,86.95,87.33,85.15,85.82,2855700,0
2010-01-14,85.58,86.45,85.09,86.29,2104300,0
2010-01-15,86.34,86.8,84.93,85.11,4369700,0
2010-01-19,84.97,86.26,84.97,85.9,2289200,0
2010-01-20,84.75,84.8,83.08,84.06,2793100,0
2010-01-21,84.35,84.48,81.3,81.6,2865500,0
2010-01-22,81.32,81.86,80.19,80.29,2551800,0
2010-01-25,81.22,81.22,79.15,80.69,1878500,0
2010-01-26,80.46,81.23,79.51,80.76,2272300,0
2010-01-27,80.75,80.77,78.61,80.42,3523900,0
2010-01-28,80.98,80.98,78.39,79.07,1974200,0
2010-01-29,79.68,80.7,78.3,78.35,3139500,0
2010-02-01,78.81,80.73,78.76,80.67,3056600,0
2010-02-02,81.07,82.55,80.36,82.33,3217400,0
2010-02-03,81.66,82.85,80.91,82.12,2593700,0
2010-02-04,81.36,81.74,78.75,78.85,3830100,0
2010-02-05,78.85,79.25,75.17,76.69,5535300,0
2010-02-08,76.82,77.77,75.31,76.69,2966800,0
2010-02-09,77.27,79.72,76.96,79.22,4694400,0
2010-02-10,79.16,79.29,77.52,78.29,2196800,0
2010-02-11,78.38,79.78,77.44,79.53,2272800,0
2010-02-12,78.4,78.68,77.51,78.55,2902000,0
2010-02-16,78.92,80.2,78.92,79.97,2649200,0
2010-02-17,79.9,80.49,78.93,79.94,2484400,0
2010-02-18,79.63,80.39,79.37,80.1,1714300,0
2010-02-19,80.1,82.44,80.1,81.76,3000000,0
2010-02-22,82.25,83.14,81.52,82.36,2218800,0
2010-02-23,82.06,83.12,80.92,81.49,2217300,0
2010-02-24,81.73,83.61,81.73,83.08,3083400,0
2010-02-25,81.54,83.27,80.27,83.18,3007100,0
2010-02-26,83.13,84.98,82.32,84.76,3030000,0
2010-03-01,84.92,86.45,84.83,85.81,2419000,0
2010-03-02,86.44,87.12,85.21,85.41,3169300,0
2010-03-03,85.82,87.8,85.66,86.14,3579600,0
2010-03-04,87.23,87.48,85.47,86.36,2448200,0
2010-03-05,87.02,87.75,86.63,86.95,1817600,0
2010-03-08,87.26,87.54,86.14,86.67,1924700,0
2010-03-09,86.48,87.34,85.64,86.85,2023300,0
2010-03-10,87.01,88.34,86.88,87.26,2557400,0
2010-03-11,86.61,87.0,85.64,86.49,4330500,0
2010-03-12,86.53,86.69,84.8,86.18,3605200,0
2010-03-15,86.2,87.83,86.15,87.83,2509100,0
2010-03-16,88.04,88.94,87.68,88.63,2798400,0
2010-03-17,89.05,90.51,89.05,89.8,4885800,0
2010-03-18,87.85,92.96,87.0,92.67,13233200,0
2010-03-19,91.05,92.17,90.36,91.05,5613000,0
2010-03-22,90.5,91.0,89.52,89.68,3904200,0
2010-03-23,89.66,92.01,89.64,91.63,4116000,0
2010-03-24,91.42,91.5,90.1,90.24,4458000,0
2010-03-25,91.18,91.94,90.01,90.94,5720000,0
2010-03-26,91.19,91.88,90.34,91.35,3777100,0
2010-03-29,91.75,92.43,90.84,92.23,3423400,0
2010-03-30,92.52,93.23,91.68,92.82,3979900,0
2010-03-31,92.17,93.66,91.6,93.4,4168500,0
2010-04-01,94.01,94.53,91.69,92.17,2527800,0
2010-04-05,92.12,92.63,91.66,92.46,2091900,0
2010-04-06,92.09,92.84,91.76,92.37,1794300,0
2010-04-07,92.03,92.35,90.2,90.67,2522400,0
2010-04-08,90.45,90.94,89.82,90.72,2344000,0
2010-04-09,90.48,91.64,90.28,91.26,1876000,0
2010-04-12,91.07,91.7,90.57,90.82,1542300,0
2010-04-13,90.69,90.95,89.92,90.72,1358600,0
2010-04-14,91.12,94.23,90.77,94.01,4753400,0
2010-04-15,95.3,97.75,95.3,95.62,4342800,0
2010-04-16,95.24,95.39,93.41,93.87,3812200,0
2010-04-19,93.32,94.27,91.93,92.55,2866100,0
2010-04-20,93.34,93.56,91.55,92.04,3546600,0
2010-04-21,91.98,92.5,91.12,91.5,2628500,0
2010-04-22,91.01,91.94,89.9,91.71,3302100,0
2010-04-23,91.93,92.83,91.3,92.81,2879700,0
2010-04-26,93.03,93.99,92.27,92.5,2075900,0
2010-04-27,91.73,92.71,89.43,89.72,2996400,0
2010-04-28,90.37,91.42,89.66,90.84,2439400,0
2010-04-29,91.47,92.8,91.28,92.58,2325600,0
2010-04-30,92.42,93.8,89.9,90.01,2653600,0
2010-05-03,90.68,92.74,90.32,92.47,2985000,0
2010-05-04,91.03,91.24,88.34,89.37,3572300,0
2010-05-05,88.45,89.64,87.85,88.56,2224600,0
2010-05-06,87.95,89.28,81.5,85.99,4072400,0
2010-05-07,86.16,86.16,81.8,83.14,4864000,0
2010-05-10,87.03,88.46,86.1,87.72,3517000,0
2010-05-11,86.93,89.62,86.32,88.11,2894900,0
2010-05-12,88.62,89.92,88.0,89.76,1779400,0
2010-05-13,89.35,89.62,87.67,87.98,1891100,0
2010-05-14,87.3,87.42,85.01,85.91,2682100,0
2010-05-17,86.13,86.96,84.0,85.89,2356000,0
2010-05-18,85.96,86.82,83.77,84.06,3215000,0
2010-05-19,83.27,84.71,82.12,84.09,2960600,0
2010-05-20,82.55,83.17,81.02,81.1,3747500,0
2010-05-21,80.14,83.35,79.41,83.06,4250000,0
2010-05-24,82.66,83.47,81.41,81.47,2364300,0
2010-05-25,79.11,80.89,78.29,80.71,4349900,0
2010-05-26,81.44,82.71,81.01,81.64,3179400,0
2010-05-27,83.16,84.29,82.13,84.16,2609600,0
2010-05-28,84.04,84.63,82.67,83.49,2313900,0
2010-06-01,82.49,83.41,81.2,81.29,2904400,0
2010-06-02,81.93,83.41,81.49,83.32,2242000,0
2010-06-03,83.84,84.85,82.66,83.98,2195100,0
2010-06-04,82.21,82.62,78.84,79.37,3875300,0
2010-06-07,79.93,79.93,76.45,76.52,4042700,0
2010-06-08,77.07,79.01,76.03,78.68,3405300,0
2010-06-09,79.38,80.25,77.12,77.55,3436000,0
2010-06-10,79.14,80.34,78.65,80.26,2725300,0
2010-06-11,79.53,80.74,78.82,80.63,2406100,0
2010-06-14,81.18,82.5,80.75,81.47,3507100,0
2010-06-15,82.1,83.15,81.63,83.01,3561500,0
2010-06-16,81.4,82.05,77.92,78.07,15058000,0
2010-06-17,78.5,78.52,77.13,78.11,7910200,0
2010-06-18,78.47,78.82,77.91,78.7,3733300,0
2010-06-21,79.69,80.09,78.02,78.58,3346100,0
2010-06-22,78.52,78.96,75.88,76.2,4665900,0
2010-06-23,76.43,77.22,75.44,76.59,4015900,0
2010-06-24,76.22,77.33,75.69,75.96,4112700,0
2010-06-25,76.12,76.24,74.42,75.96,8014300,0
2010-06-28,75.8,76.55,74.93,75.13,3176200,0
2010-06-29,74.01,74.27,70.94,71.51,5349400,0
2010-06-30,71.47,71.9,69.98,70.11,4570400,0
2010-07-01,70.71,72.19,69.78,72.0,6562400,0
2010-07-02,72.39,72.6,71.02,71.41,4719000,0
2010-07-06,72.23,72.71,70.06,70.7,5745100,0
2010-07-07,71.0,72.91,70.57,72.89,4839800,0
2010-07-08,73.49,74.44,72.63,73.68,3219300,0
2010-07-09,73.87,74.36,72.52,74.22,3500500,0
2010-07-12,75.21,75.4,73.58,74.16,2902600,0
2010-07-13,75.16,77.68,75.11,77.29,5278600,0
2010-07-14,77.01,79.12,76.91,78.73,5260100,0
2010-07-15,78.75,78.8,76.24,77.22,3884300,0
2010-07-16,76.8,76.99,74.37,74.61,3024200,0
2010-07-19,74.91,75.22,73.7,74.99,2248000,0
2010-07-20,74.1,76.04,73.26,75.91,2303800,0
2010-07-21,76.53,76.57,73.35,74.03,3010300,0
2010-07-22,75.71,78.74,75.71,78.53,4490400,0
2010-07-23,78.49,79.0,77.57,78.96,2800400,0
2010-07-26,82.26,83.64,82.0,83.39,7247800,0
2010-07-27,84.0,84.24,81.81,82.37,3282600,0
2010-07-28,81.75,83.05,81.41,82.84,2931000,0
2010-07-29,83.47,83.68,81.15,82.07,2335400,0
2010-07-30,81.23,82.99,80.67,82.55,2453600,0
2010-08-02,83.9,84.67,83.06,84.6,2471300,0
2010-08-03,84.46,84.46,82.75,83.63,2350200,0
2010-08-04,84.02,86.09,83.75,85.96,3289500,0
2010-08-05,85.18,86.05,84.85,85.75,2478000,0
2010-08-06,84.56,85.79,84.08,85.32,1845600,0
2010-08-09,85.56,87.74,85.52,87.29,2915400,0
2010-08-10,86.44,87.47,85.77,87.1,2778100,0
2010-08-11,85.42,85.48,82.47,83.13,3736600,0
2010-08-12,81.75,82.19,80.89,81.94,3022500,0
2010-08-13,81.78,82.2,80.78,80.8,1967600,0
2010-08-16,80.18,81.5,79.88,80.98,1942900,0
2010-08-17,81.95,84.47,81.74,83.76,2780600,0
2010-08-18,83.54,84.55,82.74,84.04,2518900,0
2010-08-19,83.5,83.92,80.94,81.58,2700000,0
2010-08-20,81.06,81.66,79.98,81.23,2572500,0
2010-08-23,82.27,83.27,81.33,81.44,2622000,0
2010-08-24,80.26,80.69,78.13,79.09,3030200,0
2010-08-25,78.11,79.14,77.25,78.75,2707300,0
2010-08-26,78.47,80.11,78.47,78.76,2316800,0
2010-08-27,79.51,80.57,77.89,80.46,1940900,0
2010-08-30,79.67,80.87,78.75,78.78,1511700,0
2010-08-31,78.51,79.4,77.34,78.05,2733500,0
2010-09-01,79.31,81.69,79.04,81.37,3479400,0
2010-09-02,81.51,82.15,81.01,81.72,2455400,0
2010-09-03,82.79,84.12,82.48,82.75,2585000,0
2010-09-07,82.24,82.76,81.33,81.98,1666700,0
2010-09-08,82.03,84.61,82.03,83.81,2311000,0
2010-09-09,85.12,85.86,84.13,84.28,1961400,0
2010-09-10,84.7,85.0,83.96,84.16,1166600,0
2010-09-13,85.25,86.35,84.28,84.62,2095000,0
2010-09-14,84.84,85.59,84.06,85.09,2184500,0
2010-09-15,84.86,86.31,84.6,85.94,2022100,0
2010-09-16,83.41,84.0,81.8,82.72,8247600,0
2010-09-17,82.85,82.85,81.81,82.28,3893600,0
2010-09-20,82.57,83.67,82.09,82.91,2491700,0
2010-09-21,83.22,83.75,82.41,83.63,3959000,0
2010-09-22,83.61,85.08,83.31,84.3,3618600,0
2010-09-23,83.56,84.42,82.37,82.66,2464200,0
2010-09-24,83.88,84.8,83.67,84.23,2383500,0
2010-09-27,84.61,84.87,83.95,84.07,2253600,0
2010-09-28,84.06,84.86,82.76,84.71,2880500,0
2010-09-29,84.51,86.57,84.01,86.37,5037300,0
2010-09-30,87.0,88.46,85.43,85.5,5114000,0
2010-10-01,86.41,87.42,85.23,85.64,3260800,0
2010-10-04,85.53,86.64,84.74,85.43,3371200,0
2010-10-05,86.23,88.45,86.12,87.83,3840200,0
2010-10-06,87.59,88.0,86.73,87.38,2108400,0
2010-10-07,87.65,87.68,85.93,86.74,1930500,0
2010-10-08,86.93,88.93,86.34,88.69,3697800,0
2010-10-11,88.96,88.96,88.1,88.4,1684500,0
2010-10-12,87.96,88.38,86.55,87.98,2255200,0
2010-10-13,88.56,90.63,88.26,89.75,2829700,0
2010-10-14,89.73,89.75,88.84,89.39,1577300,0
2010-10-15,90.05,90.5,88.65,89.62,2172800,0
2010-10-18,89.45,89.9,88.89,89.47,1953100,0
2010-10-19,88.19,88.71,86.43,87.14,2844400,0
2010-10-20,87.57,89.25,87.5,88.92,2506100,0
2010-10-21,88.92,89.87,87.8,88.57,1826200,0
2010-10-22,88.66,88.86,87.9,88.86,954600,0
2010-10-25,89.39,90.2,88.92,89.56,2716300,0
2010-10-26,88.97,90.3,88.25,89.64,1763300,0
2010-10-27,88.63,88.75,86.7,88.13,2352800,0
2010-10-28,88.7,89.18,87.57,88.83,2335900,0
2010-10-29,88.72,89.13,87.67,87.72,2062700,0
2010-11-01,87.69,88.77,86.04,86.42,2610300,0
2010-11-02,87.1,87.69,86.23,87.03,2040700,0
2010-11-03,87.0,88.38,85.84,87.44,2932400,0
2010-11-04,88.38,89.14,87.93,88.8,3501400,0
2010-11-05,88.73,90.55,88.73,90.0,2527100,0
2010-11-08,89.18,90.46,89.05,90.31,1995900,0
2010-11-09,90.42,90.65,87.79,88.12,2330600,0
2010-11-10,88.33,88.75,87.25,88.48,1468600,0
2010-11-11,87.48,88.45,87.35,87.98,1831400,0
2010-11-12,87.39,87.75,86.77,87.32,1533900,0
2010-11-15,87.68,88.25,86.23,86.39,2144000,0
2010-11-16,85.88,86.23,84.49,85.87,2382900,0
2010-11-17,86.12,86.73,85.35,85.63,1745000,0
2010-11-18,86.76,87.59,86.14,87.09,2153600,0
2010-11-19,87.35,87.97,86.55,86.79,1929600,0
2010-11-22,86.5,87.5,85.88,87.34,2326000,0
2010-11-23,86.32,86.9,85.81,86.14,1614300,0
2010-11-24,86.86,88.6,86.59,88.47,1936900,0
2010-11-26,87.57,87.99,87.44,87.5,642600,0
2010-11-29,89.0,91.98,88.47,91.59,5127600,0
2010-11-30,91.21,93.03,91.0,91.12,4810800,0
2010-12-01,93.24,95.0,93.1,93.99,3220300,0
2010-12-02,94.35,96.23,94.1,95.21,2399300,0
2010-12-03,94.51,95.48,94.36,95.0,1833900,0
2010-12-06,94.53,94.67,93.04,93.29,2323700,0
2010-12-07,94.18,94.6,92.64,92.66,3025500,0
2010-12-08,92.43,93.28,92.1,92.81,1401700,0
2010-12-09,93.67,94.28,93.3,94.09,2650400,0
2010-12-10,94.1,94.1,92.63,93.98,1752800,0
2010-12-13,94.9,95.19,94.26,94.31,2186900,0
2010-12-14,94.42,94.77,92.93,93.33,2353800,0
2010-12-15,93.33,93.5,92.39,92.39,2193200,0
2010-12-16,91.86,94.79,91.28,94.22,6865000,0
2010-12-17,94.23,94.31,92.24,93.07,2990100,0
2010-12-20,93.81,93.89,92.81,93.56,1604500,0
2010-12-21,93.8,94.49,93.47,93.69,1547300,0
2010-12-22,93.83,93.9,92.82,93.37,1246700,0
2010-12-23,93.03,93.52,92.57,93.01,880200,0
2010-12-27,92.49,93.2,92.49,93.03,678100,0
2010-12-28,93.24,93.36,92.59,93.02,839400,0
2010-12-29,93.07,93.25,92.64,92.8,790100,0
2010-12-30,92.82,93.24,92.7,92.96,764900,0
2010-12-31,92.53,93.41,92.41,93.01,1015100,0
2011-01-03,93.54,94.29,93.12,93.19,2037700,0
2011-01-04,93.38,93.87,92.06,93.12,2412600,0
2011-01-05,92.52,94.27,92.37,93.87,2351100,0
2011-01-06,93.7,93.93,92.91,93.1,1890000,0
2011-01-07,93.0,94.32,91.8,93.15,5209400,0
2011-01-10,93.01,94.98,92.25,94.06,2959000,0
2011-01-11,94.79,94.79,92.45,93.31,2635500,0
2011-01-12,93.92,95.14,93.28,95.0,3155100,0
2011-01-13,94.91,96.17,94.62,95.63,2725900,0
2011-01-14,95.65,97.0,95.31,95.83,2600400,0
2011-01-18,96.31,96.79,95.08,95.8,1565300,0
2011-01-19,95.63,95.72,93.57,94.34,2039200,0
2011-01-20,93.54,94.02,92.79,93.51,2253300,0
2011-01-21,94.42,94.64,92.87,93.34,1872300,0
2011-01-24,93.12,94.44,92.97,94.37,2037800,0
2011-01-25,94.03,94.35,93.3,93.99,1418600,0
2011-01-26,94.13,94.77,93.27,94.31,2180700,0
2011-01-27,94.41,94.84,93.8,94.36,1862300,0
2011-01-28,94.52,94.64,90.18,90.48,4654200,0
2011-01-31,91.0,91.5,90.01,90.32,3088700,0
2011-02-01,92.75,93.96,92.28,92.69,4049700,0
2011-02-02,92.07,92.13,90.52,90.8,4172700,0
2011-02-03,91.94,92.3,91.1,91.46,3933100,0
2011-02-04,91.6,91.82,90.54,91.74,1986800,0
2011-02-07,91.84,92.75,91.3,91.46,2144200,0
2011-02-08,91.38,92.4,91.17,92.05,1652500,0
2011-02-09,91.71,92.17,91.0,91.6,1762300,0
2011-02-10,91.31,94.69,91.31,94.44,3024600,0
2011-02-11,93.87,95.89,93.8,95.42,2038800,0
2011-02-14,95.03,95.7,93.81,93.99,2822100,0
2011-02-15,95.01,96.7,94.89,95.98,5403500,0
2011-02-16,96.37,97.1,95.9,96.84,2249500,0
2011-02-17,96.39,97.7,96.37,97.47,1513800,0
2011-02-18,97.86,98.52,97.31,98.32,2434800,0
2011-02-22,96.05,96.2,92.91,93.29,3847200,0
2011-02-23,93.1,93.11,87.54,89.25,7028500,0
2011-02-24,89.35,90.76,89.08,89.81,3940600,0
2011-02-25,90.57,90.92,89.75,89.88,2600500,0
2011-02-28,91.01,91.02,89.77,90.02,2299600,0
2011-03-01,90.57,90.58,87.6,87.88,4843700,0
2011-03-02,88.01,88.65,86.32,87.32,3989400,0
2011-03-03,88.33,90.58,88.18,89.79,4555900,0
2011-03-04,89.87,90.0,87.8,88.69,2747800,0
2011-03-07,88.88,89.38,87.11,88.26,3360200,0
2011-03-08,88.27,90.3,88.27,89.95,3590900,0
2011-03-09,89.53,91.0,89.0,90.78,2630800,0
2011-03-10,89.72,91.33,88.8,89.95,3273600,0
2011-03-11,90.08,91.25,89.86,90.71,2942900,0
2011-03-14,89.72,89.86,87.2,88.63,5338000,0
2011-03-15,86.02,89.06,85.97,87.79,3925800,0
2011-03-16,87.36,87.66,85.03,85.28,4906800,0
2011-03-17,89.79,90.4,87.49,87.89,6607500,0
2011-03-18,90.1,90.21,88.27,89.28,3956300,0
2011-03-21,90.37,90.48,89.61,89.86,2140600,0
2011-03-22,89.67,89.68,88.19,88.29,1950500,0
2011-03-23,87.83,89.38,87.05,88.96,1950600,0
2011-03-24,89.28,90.9,89.12,90.79,2527400,0
2011-03-25,90.87,91.06,89.85,90.28,2311000,0
2011-03-28,91.09,93.68,90.6,93.02,4364500,0
2011-03-29,92.93,93.3,92.13,93.04,1753900,0
2011-03-30,93.31,94.4,93.14,93.75,1639600,0
2011-03-31,93.21,94.41,93.02,93.55,1613500,0
2011-04-01,95.0,96.5,94.58,95.0,3424800,0
2011-04-04,95.01,95.42,94.46,95.12,1309700,0
2011-04-05,94.69,95.28,94.11,94.19,1436900,0
2011-04-06,95.16,95.35,93.8,94.59,1620200,0
2011-04-07,94.26,94.72,93.41,93.91,1475000,0
2011-04-08,93.85,94.18,90.82,91.16,2919300,0
2011-04-11,91.3,92.86,90.66,92.53,3345600,0
2011-04-12,92.17,94.4,91.96,94.08,3368000,0
2011-04-13,94.59,94.67,93.07,93.43,2108900,0
2011-04-14,92.94,93.99,92.66,92.94,2148800,0
2011-04-15,93.01,93.35,92.19,92.58,1976000,0
2011-04-18,91.34,92.24,91.1,91.96,2293200,0
2011-04-19,92.51,92.98,91.52,91.85,1678500,0
2011-04-20,93.0,94.19,92.36,93.23,1901200,0
2011-04-21,93.72,94.23,93.39,93.94,1816300,0
2011-04-25,93.75,94.13,92.9,93.85,1347000,0
2011-04-26,94.26,95.03,94.06,94.49,1900000,0
2011-04-27,94.65,94.99,93.37,94.8,1513500,0
2011-04-28,94.53,95.76,94.45,95.28,1614500,0
2011-04-29,95.55,96.25,95.3,95.67,1431400,0
2011-05-02,96.25,96.89,94.03,94.37,2280800,0
2011-05-03,94.0,94.78,93.63,94.22,1528300,0
2011-05-04,93.7,94.58,92.42,92.64,2292800,0
2011-05-05,92.16,95.99,91.8,95.29,3636400,0
2011-05-06,96.14,96.39,95.14,95.65,2520900,0
2011-05-09,95.6,95.64,94.56,94.91,1542000,0
2011-05-10,95.36,96.24,95.16,95.74,1658800,0
2011-05-11,95.43,96.5,94.79,95.16,2580200,0
2011-05-12,95.11,95.13,94.04,94.96,2235900,0
2011-05-13,95.17,95.5,93.5,93.58,2780400,0
2011-05-16,93.38,94.43,92.98,93.18,1939600,0
2011-05-17,92.85,92.92,92.05,92.59,2144000,0
2011-05-18,92.87,94.21,92.3,93.65,1923100,0
2011-05-19,94.01,94.65,93.5,94.58,1919700,0
2011-05-20,94.46,94.59,93.56,93.82,1377800,0
2011-05-23,92.56,92.69,91.05,92.04,2539500,0
2011-05-24,92.21,92.42,90.93,91.48,1604200,0
2011-05-25,90.96,92.3,90.82,91.84,1727900,0
2011-05-26,91.31,91.9,90.8,91.36,2346200,0
2011-05-27,91.85,92.35,91.6,91.9,1222100,0
2011-05-31,92.63,93.73,92.58,93.64,2378700,0
2011-06-01,93.95,94.39,91.41,91.43,3444300,0
2011-06-02,91.79,92.5,91.0,91.52,1958100,0
2011-06-03,90.32,91.0,89.9,90.15,2139300,0
2011-06-06,89.99,90.56,87.65,87.75,3268200,0
2011-06-07,87.95,88.23,86.68,86.76,3211800,0
2011-06-08,86.54,86.9,85.46,85.59,3320700,0
2011-06-09,86.08,86.79,85.8,86.21,2938200,0
2011-06-10,86.23,86.39,84.79,85.38,2707900,0
2011-06-13,85.37,86.15,84.95,85.92,2444200,0
2011-06-14,86.59,88.0,86.22,87.43,2732100,0
2011-06-15,86.43,87.29,86.1,86.49,2357200,0
2011-06-16,86.71,87.52,86.0,86.48,2095300,0
2011-06-17,87.26,87.69,86.67,86.99,2131400,0
2011-06-20,86.83,87.86,86.61,87.5,1809200,0
2011-06-21,88.43,89.48,81.22,89.13,3292100,0
2011-06-22,91.5,92.41,90.66,91.44,6023500,0
2011-06-23,91.12,93.45,90.6,92.96,4850000,0
2011-06-24,92.91,93.45,91.57,91.87,4282900,0
2011-06-27,91.97,93.0,91.61,92.85,1930900,0
2011-06-28,93.13,94.19,92.77,94.02,1762100,0
2011-06-29,94.5,94.91,93.1,93.63,2283700,0
2011-06-30,93.84,94.95,93.8,94.85,2079300,0
2011-07-01,94.68,96.83,94.56,96.52,2464600,0
2011-07-05,96.17,96.25,95.2,95.5,1870700,0
2011-07-06,95.58,97.07,95.56,96.78,2365900,0
2011-07-07,97.69,98.66,96.92,98.5,2958600,0
2011-07-08,97.24,97.7,96.96,97.56,2229100,0
2011-07-11,96.75,96.75,94.47,95.08,2534700,0
2011-07-12,94.7,95.09,93.81,94.08,2958900,0
2011-07-13,94.74,95.59,93.99,94.25,2133100,0
2011-07-14,94.46,94.98,92.78,93.06,2829000,0
2011-07-15,92.97,93.28,91.26,92.2,3206100,0
2011-07-18,91.8,91.89,90.05,90.46,3612000,0
2011-07-19,91.22,92.24,90.58,91.77,2550100,0
2011-07-20,92.01,92.81,91.3,92.19,2182100,0
2011-07-21,92.69,94.07,92.33,93.08,1984100,0
2011-07-22,93.26,93.62,92.2,92.79,1635200,0
2011-07-25,91.7,92.35,91.48,91.88,1867500,0
2011-07-26,90.43,91.45,88.7,91.0,4588900,0
2011-07-27,90.24,90.34,88.55,89.14,4036700,0
2011-07-28,89.44,90.18,87.74,87.86,3454700,0
2011-07-29,86.91,88.17,86.33,86.88,3024200,0
2011-08-01,88.05,88.05,85.02,86.0,4119600,0
2011-08-02,85.37,86.03,83.96,84.44,4101600,0
2011-08-03,84.6,86.0,83.46,85.74,4380700,0
2011-08-04,84.78,85.04,81.98,82.1,4364100,0
2011-08-05,83.22,83.72,80.18,82.36,5026700,0
2011-08-08,80.34,81.91,77.5,77.54,5679800,0
2011-08-09,79.19,79.89,75.5,79.75,4804200,0
2011-08-10,78.53,78.67,75.13,75.32,4640500,0
2011-08-11,75.78,81.3,75.67,79.88,4746300,0
2011-08-12,80.29,81.29,79.0,80.48,3280200,0
2011-08-15,81.2,81.98,80.15,81.85,2698900,0
2011-08-16,80.9,81.7,79.28,80.1,3826100,0
2011-08-17,80.52,81.27,78.47,79.13,2951400,0
2011-08-18,77.06,77.34,73.49,74.46,4502100,0
2011-08-19,74.11,75.77,72.89,73.16,3477900,0
2011-08-22,74.92,75.0,72.16,73.0,3420900,0
2011-08-23,73.57,74.79,72.67,74.79,3857900,0
2011-08-24,74.7,77.0,74.23,76.6,3685900,0
2011-08-25,77.29,77.44,74.15,74.76,2617400,0
2011-08-26,74.17,75.85,72.57,75.72,4011800,0
2011-08-29,76.67,78.79,76.67,78.75,2673300,0
2011-08-30,78.31,79.33,77.68,78.83,2065500,0
2011-08-31,79.52,80.71,78.17,78.72,3246500,0
2011-09-01,78.72,80.11,77.9,78.04,2814000,0
2011-09-02,75.95,76.49,74.46,74.9,2739400,0
2011-09-06,72.43,73.82,71.33,73.6,4053700,0
2011-09-07,74.88,76.64,74.34,76.27,3250400,0
2011-09-08,75.71,76.2,74.65,74.99,2543800,0
2011-09-09,74.04,75.08,72.9,73.4,2555400,0
2011-09-12,72.39,73.78,71.54,73.63,3259500,0
2011-09-13,73.64,75.46,73.11,74.97,3226900,0
2011-09-14,75.63,77.12,73.75,76.01,3146700,0
2011-09-15,77.0,77.33,75.64,77.08,2218300,0
2011-09-16,77.57,77.92,75.27,76.4,3689800,0
2011-09-19,74.99,76.16,74.68,75.76,2869600,0
2011-09-20,75.95,76.84,75.0,75.22,3036000,0
2011-09-21,75.0,75.32,72.5,72.5,4094900,0
2011-09-22,70.04,70.09,64.55,66.58,11368000,0
2011-09-23,66.86,68.43,66.61,67.3,4468200,0
2011-09-26,68.1,69.82,67.71,69.75,4467100,0
2011-09-27,71.51,71.62,70.12,70.53,4112700,0
2011-09-28,70.94,71.07,69.1,69.2,3511200,0
2011-09-29,70.46,70.81,68.24,69.7,3226500,0
2011-09-30,68.98,69.55,67.62,67.68,2730900,0
2011-10-03,66.9,67.92,64.97,65.15,4643600,0
2011-10-04,64.18,67.91,64.07,67.86,4400000,0
2011-10-05,68.04,70.92,67.68,70.41,4889800,0
2011-10-06,70.11,72.52,69.33,72.2,3260900,0
2011-10-07,72.31,72.46,70.88,71.06,3389600,0
2011-10-10,72.46,73.63,72.01,73.62,1957800,0
2011-10-11,73.25,73.7,72.6,73.43,2055700,0
2011-10-12,73.98,76.13,73.82,75.18,3034800,0
2011-10-13,74.42,74.42,73.26,73.87,3055800,0
2011-10-14,74.76,75.82,74.65,75.74,2272800,0
2011-10-17,75.47,75.55,73.65,73.97,2543600,0
2011-10-18,73.84,76.56,73.47,75.62,2486000,0
2011-10-19,75.69,76.15,74.97,75.28,2037300,0
2011-10-20,75.33,76.82,74.96,76.59,2634400,0
2011-10-21,77.42,79.92,77.18,79.34,4153200,0
2011-10-24,79.9,82.4,79.9,81.52,3549200,0
2011-10-25,80.51,81.86,79.2,80.72,3689200,0
